language,model,n_params,R2,RSS,RSE,AIC,BIC
german,model5p,4,0.4574134900257879,327.56749733881804,0.6860342235971743,2558.923431074063,4050.881035884632
spanish,null,0,-2.4837575090347874,1397.6785198536975,1.4130405513611406,1718753665.7655852,1718755138.0921688
spanish,model1,1,-2.4598378881856178,1388.08200224958,1.4091881215851085,3300.5000643828353,4777.734403356459
spanish,model2,2,0.5004853979124078,200.40454247475097,0.535828820646538,1993.4633909262188,3475.605485178824
spanish,model3,2,0.3801365947242329,248.6883098351308,0.5968977943008013,2144.1866172832433,3626.328711535848
spanish,model4,1,0.23037229925563618,308.77353054140065,0.6646323007461621,2508.245444079548,3985.4797830531716
spanish,model5,3,0.5385571340577509,185.13021649601004,0.5153737155780902,1954.246066996599,3441.2959165281864
spanish,model1p,2,0.476591201017184,209.99086002498194,0.5484947623576591,2028.9365838182873,3511.0786780708922
spanish,model2p,3,0.5195386463359873,192.76040651350496,0.525887112108879,1979.9555284348821,3467.0053779664695
spanish,model3p,3,0.4013994834687823,240.157669343873,0.5869915386873069,2132.2381064737397,3619.287956005327
spanish,model4p,2,0.5195485361672751,192.756438727366,0.5255048585340875,1977.9379359655015,3460.080030218107
spanish,model5p,4,0.5484469679370807,181.16242931730648,0.510187070318592,1948.5907126749264,3440.548317485496
finnish,null,0,-1.0882288110481269,1910.8517237411088,1.65220706231786,4077.5050317027035,5549.831615397345
finnish,model1,1,-0.8442197462898982,1687.569131558268,1.5537895580754688,3887.274453650898,5364.508792624521
finnish,model2,2,0.44928927753489145,503.9325804421685,0.8496860876964406,2974.1000553714816,4456.242149624087
finnish,model3,2,0.3634535517246077,582.4772991795875,0.9135068133106754,3150.171628502555,4632.31372275516
finnish,model4,1,0.4084046628126735,541.3443985835095,0.8800315368450897,3171.8652251638564,4649.099564137479
finnish,model5,3,0.47459117266495865,480.779863811016,0.8305327185442344,2920.846450685749,4407.896300217337
finnish,model1p,2,0.43205071575682497,519.7068745780216,0.8628822184349081,3012.9197051059195,4495.061799358525
finnish,model2p,3,0.4644666237161964,490.04441935612084,0.8384966558256964,2936.3997819338115,4423.449631465399
finnish,model3p,3,0.3895319746774233,558.614014089279,0.8952400943472888,3093.2522462528195,4580.302095784407
finnish,model4p,2,0.46447417037956695,490.03751371693335,0.8378898944605786,2934.4030364029404,4416.545130655546
finnish,model5p,4,0.47670783675851713,478.84299213758715,0.8294533168270435,2911.943116815404,4403.900721625974
french,null,0,-3.1586703084657044,1940.077827255594,1.6647942074689823,4111.066655884667,5583.393239579308
french,model1,1,-2.5839485968795595,1671.9621155530156,1.5465879726075489,3571.9416389269654,5049.175977900589
french,model2,2,0.3616119285764654,297.81695847156476,0.6532012402578918,2764.617379737596,4246.7594739902015
french,model3,2,0.28215900394305227,334.8828583766632,0.6926578294760513,2810.547978503525,4292.69007275613
french,model4,1,0.05856431964524489,439.19290392543695,0.7926638811663064,3018.644352480327,4495.8786914539505
french,model5,3,0.3895840098422432,284.7675915776672,0.6391884106882747,2632.91688880612,4119.966738337707
french,model1p,2,0.3460691571444804,305.06787859569954,0.6611051338388685,2771.456766409039,4253.598860661645
french,model2p,3,0.3726076284504545,292.6873107865205,0.6480157449626834,2769.4464139191036,4256.496263450691
french,model3p,3,0.29473083771438,329.0179221978934,0.6870579807145454,2822.58915937869,4309.639008910277
french,model4p,2,0.372617046502127,292.68291713377323,0.6475465235731346,2767.4276339022954,4249.5697281549
french,model5p,4,0.39394345223721616,282.73385076573794,0.6373592370690251,2636.585644697829,4128.543249508399
galician,null,0,-2.2525344149359676,1558.3207425232981,1.4920363565674253,3839.0973545420875,5311.423938236729
galician,model1,1,-2.1298402756372767,1499.5367919593325,1.4646706368101359,3481.248417580559,4958.482756554182
galician,model2,2,0.4819947769669194,248.18131979819452,0.5962890491056944,2444.722044092313,3926.8641383449185
galician,model3,2,0.3576692724964968,307.7468732174799,0.664001580694989,2638.759596815614,4120.9016910682185
galician,model4,1,0.2585106681485617,355.2547210193271,0.7129044754788931,2871.740415167874,4348.974754141497
galician,model5,3,0.522315116926948,228.86345437707166,0.5730227114178605,2322.7639710205176,3809.8138205521045
galician,model1p,2,0.4568971058955663,260.20585710667564,0.6105634781886451,2496.9601358352083,3979.102230087814
galician,model2p,3,0.5022972072882849,238.45422878014585,0.5849060658378128,2399.2759882447453,3886.3258377763327
galician,model3p,3,0.3799675315698259,297.0635613125969,0.6528423246687558,2609.264324170251,4096.314173701838
galician,model4p,2,0.5023053891409632,238.4503087752775,0.5844821242315652,2397.248787941261,3879.3908821938667
galician,model5p,4,0.531936345447037,224.25383060105185,0.5676299671433956,2307.847098470107,3799.804703280677
hindi,null,0,-2.680316744315823,2132.083193061163,1.7452315413561945,4197.953508554938,5670.280092249579
hindi,model1,1,-1.8691323343738016,1662.1473785468772,1.542041907801978,3682.923789050469,5160.158128024093
hindi,model2,2,0.36302518194364153,369.0126144926757,0.7270979077593449,2673.073296039019,4155.215390291624
hindi,model3,2,0.3008869844648713,405.0105504573505,0.7617377118335694,2791.3822227799787,4273.524317032584
hindi,model4,1,0.16653231340367158,482.8449750408513,0.8311229412103134,3189.7335776365812,4666.967916610205
hindi,model5,3,0.37437226193483364,362.43901764753815,0.7211092778484065,2640.0117192549324,4127.06156878652
hindi,model1p,2,0.35199886231211863,375.40038826350656,0.7333641018086736,2701.9478855916045,4184.08997984421
hindi,model2p,3,0.3704927534031862,364.6864967403195,0.7233416166093074,2652.6565961082324,4139.706445639819
hindi,model3p,3,0.3135550798512112,397.67166222088923,0.7553459992011388,2781.073221774817,4268.123071306404
hindi,model4p,2,0.3704993230680562,364.6826907983242,0.7228195060961032,2650.427753384963,4132.569847637568
hindi,model5p,4,0.37678338884913176,361.0422022298836,0.720235236785388,2636.1721580281746,4128.129762838744
indonesian,null,0,-1.342401152043828,1305.7680264411852,1.3657902089691443,3763.4043370192603,5235.7309207139015
indonesian,model1,1,-1.509049802725949,1398.6660680598943,1.4145504187080387,3527.8584417974307,5005.092780771054
indonesian,model2,2,0.4109317486268075,328.3752176110361,0.6858947449586874,2781.88633695464,4264.028431207245
indonesian,model3,2,0.3283884729073647,374.38884347444696,0.7323753827463,2976.134406180013,4458.2765004326175
indonesian,model4,1,0.2633751349752923,410.6304316797142,0.7664555581210815,3254.886306649064,4732.120645622687
indonesian,model5,3,0.43372714337340135,315.6679588290652,0.6729748928113659,2677.9050007209803,4164.954850252568
indonesian,model1p,2,0.394638201864734,337.45803093730007,0.6953159193516774,2816.409520584912,4298.551614837517
